"filename","unplatted_property","abstract_no","county","propertyid","geographicid"
"The RHS Childrens Trust 961690_The RHS Childrens Trust 961690.txt","","","","FT-44122-9001222101184","see Attached SURVEY"
"The Stitt Family Trust 953590_filed.txt","","","","",""
"The Vaquero Club 966402_The Vaquero Club 966402.txt","","","","",""
"Thomas Beaty 962212_Thomas Beaty 962212.txt","2","92","PARKER","",""
"Thomas Henley_Thomas Henley 958425.txt","8.216","575","Hood","R000046145","20575.000.0010.1"
"Thomas Meadows & Kellye Meadows 965031.txt","","","","",""
"Three Amigos Investments 952044 Recorded.txt","3","1906","Parker","",""
"Thurman Development LLC Lee Thurman 946007 Recorded.txt","","","","",""
"Tiffen Mayfield.txt","50017","","","",""
"Timber View Ranch Monte Magness 952234 Recorded.txt","","","","",""
"Timothy James 966739_Timothy James 966739.txt","","","","R000018173",""
"Timothy York 962330_Timothy York 962330.txt","","","","",""
"Tina Moldenhauer 961950_Tina Moldenhauer 961950.txt","","1283","Parker","R000077891","21283.047.00200"
"Tinsley Development 947800.txt","","","","",""
"Tinsley Development 964547_Tinsley Development Service.txt","312","A-1136","TARRANT","",""
"Todd Neiberger 962464_Todd Allan Neiberger 962464.txt","","","PATKEZ","",""
"Todd Neiberger 963649_Todd Neiberger 963649.txt","97","14,1815, 1198 County, Texas, as more","SE# fully described in an instrument recorded in Volume 2846 Page 1534 of the Real Records of Panker","",""
"Tom Moorehouse.txt","40.6","1163","King","",""
"Tom Parker Ranch 963036_Tom Parker Ranch 963036.txt","302.3","1780","Parker","",""
"Tommy Hutcheson PT17395_Tommy Hutcheson PT17395.txt","8.922","1246","Parker","",""
"Tracy Mansell 966740_Tracy Mansell 966740.txt","15","2112","Parker","ID:

 22112.005.001.00/22112,005.000.a",""
"Travis and Meta Waugh 943640.txt","","","","",""
"Travis Wilson 953436_Travis Wilson 953436.txt","1.135","1884","Parker","R000062419 GEOGRAPHIC 11):

 21884.036,009.00",""
"Trent & Terry Springfield 968850.txt","1,000","621","Parker","",""
"Trenton Laird 967781_Trenton Laird 967781.txt","10 051","614","Parker","",""
"Trevor Trammell 962818_Trevor Tremmell 962818.txt","14.20","2413","Parker","",""
"Trinidad Veyna and Ruth Veyna 960734.txt","","","","",""
"Trinity Class Homes 965525_Trinity Classic Homes 965525.txt","","","","",""
"Trinity Classic 964658_Trinity Classic 964658.txt","","","","",""
"Trinity Classic Homes 956902_Trinity Classic Homes 956902.txt","","","","",""
"Trisha Lynn Mineo 966456.txt","9","875","Parker","",""
"TSJ Properties.txt","633","1208 & 1332","BAYLOR","",""
"Tye Chandler 962330_Tye Chandler 962330.txt","5.001","1344","Parker","",""
"United Initiators PT 28469_United Initiators PT 28469.txt","14.754","1984","PARKER","",""
"Valerie Rudibaugh 964436_Valerie Rudibaugh 964436.txt","22.445","1283","Parker","R000052515 GEKRAPHIC ID:

 21283,057201,",""
"Valley Property Leasing 961548_Valhalla Property Leasing 961548.txt","","as more fully described","an instrument recorded in Volume Page of the Records of","R000118545 GEOGRAPIIC ID:

 10897.000.000.00",""
"Vanguard R & R Leasing.txt","868","79,700, 509,185","KNOX","",""
"Vaquero Crossing Derek Osburn 947854 Recorded.txt","","","","",""
"Vicky & Terry Wanner_Vicky &  Terry Wanner 951114.txt","","","","R00010L0088","10245.001.002.00"
"Vikram Tangam 963061_Vikram Tangam.txt","","","","",""
"Vista Homes 965154_Vista Homes 965154.txt","","","","",""
"VLMC 942812 Recorded.txt","","","","",""
"VN Business, LLC 957746.txt","32.58","257","Jack","",""
"Wade Danielson 960179_Wade Danielson 960179.txt","","1778","Parker","",""
"Waggoner Nat'l bank Dannie Portwood Fancher Trust.txt","","","","",""
"Walsh Ranches, Limited Partnership 949692.txt","","","","",""
"Walter Lewis  Randi Lewis 937402.txt","2.70","1558","Jack","",""
"Wanda Jennings 964699_Wanda Jennings 964699.txt","","1373","Parker","",""
"Waymond Horton 937329.txt","/","798","Parker","",""
"Wayne Gimlin 967558_Wayne Gimlin 967558.txt","","","","",""
"Wayne Lanham JR 960440_Wayne Lanham JR 960440.txt","20.77","B28","PARKER","",""
"WBC Custom Homes LLC 963624.txt","","","","",""
"Wesley Wade 967987_Wesley Wade 967987.txt","","2286","Parker","",""
"William Gathings & Shawna Gathings 966817.txt","2.634","","Wise","",""
"William Gentsch 961690_Wiliam Gentsch 961690.txt","2272","607","Parker","1238,393 GEOORAPHIC ID:

 N00°44.00E;
67D200E",""
"William Gray 959706_William Gray 959706.txt","","","","",""
"william Lykins 967299_William and Cheryl Lykins Easement PT29100.txt","2.16","1754","Parker","",""
"William OBoyle 965563_William OBoyle 965563.txt","1.000","2112","Parker","",""
"William Ross 938154.txt","7.685","266","Perker","",""
"William Scott and Constance Johnson 944228_Document 1.txt","1.5","495","Parker","",""
"William Windham_William Windham 959122.txt","","","","",""
"WilliamStrait 967928_William Strait 967928.txt","43.45","1833","Parker","R000078605",""
"Wilson Andrew and Chelsea 959497.txt","14","214","Jack","61090 For blanker",""
"Woody Family Limited Partnership 951977 Recorded.txt","86","2090","Parker","",""
"Wright Directions 963527_Wright Directions 963527.txt","","","","",""
"Yarizeth Esquivel 964184_Yarizeth Esquivel 964184.txt","4","1126","Parker","R00018739","211260.003.008.00"
"Zack Tuttle 952765.txt","410.8","106","Knox","",""
"Zesch Properties 951278 952495 953713.txt","7039","","Knox","",""
